Customer_ID,Age,Gender,City,Bank_Name,Account_Balance_PKR,Loan_Status,Credit_Score,Account_Type,Churn
1,56,Female,Karachi,UBL,1214138,No,455,Current,0
2,69,Female,Lahore,Allied Bank,1860696,No,682,Savings,0
3,46,Female,Faisalabad,UBL,1681369,Yes,619,Current,1
4,32,Male,Faisalabad,HBL,60650,No,672,Savings,1
5,60,Female,Lahore,Allied Bank,1727765,Yes,830,Savings,0
6,25,Male,Islamabad,UBL,1717022,No,514,Current,0
7,38,Female,Karachi,UBL,250681,Yes,666,Savings,1
8,56,Male,Lahore,Allied Bank,1061166,No,413,Savings,0
9,36,Male,Faisalabad,HBL,967397,Yes,499,Savings,0
10,40,Male,Rawalpindi,Allied Bank,607684,Yes,324,Savings,1
11,28,Female,Faisalabad,UBL,401941,No,420,Current,1
12,28,Male,Rawalpindi,HBL,965680,Yes,302,Current,1
13,41,Female,Karachi,Bank Alfalah,1126060,No,744,Savings,1
14,53,Female,Rawalpindi,Meezan Bank,1971492,No,553,Savings,1
15,57,Female,Lahore,Allied Bank,1160843,No,319,Current,0
16,41,Female,Rawalpindi,UBL,240069,Yes,503,Current,1
17,20,Female,Islamabad,HBL,953799,No,656,Savings,0
18,39,Male,Lahore,HBL,1096707,Yes,427,Savings,1
19,19,Female,Karachi,Bank Alfalah,1234541,No,657,Current,1
20,41,Female,Lahore,Allied Bank,1332644,No,591,Savings,1
21,61,Female,Islamabad,HBL,1687055,Yes,473,Current,1
22,47,Female,Karachi,Bank Alfalah,414067,Yes,654,Current,1
23,55,Female,Faisalabad,UBL,1852742,No,336,Current,1
24,19,Male,Islamabad,Bank Alfalah,1232329,Yes,609,Savings,0
25,38,Male,Karachi,Allied Bank,779855,No,881,Current,1
26,50,Female,Rawalpindi,Bank Alfalah,1703269,Yes,383,Current,1
27,29,Male,Lahore,HBL,1063869,Yes,809,Savings,0
28,39,Male,Karachi,HBL,1373923,No,743,Current,0
29,61,Female,Lahore,Meezan Bank,515365,Yes,719,Current,1
30,42,Male,Rawalpindi,Bank Alfalah,941324,No,504,Current,0
31,66,Female,Karachi,UBL,864259,No,787,Current,0
32,44,Male,Faisalabad,Allied Bank,974667,Yes,387,Current,1
33,59,Male,Islamabad,Meezan Bank,1726327,No,551,Current,1
34,45,Male,Karachi,Bank Alfalah,1814938,Yes,330,Savings,0
35,33,Female,Rawalpindi,UBL,1823806,Yes,720,Savings,1
36,32,Male,Karachi,Meezan Bank,1842606,No,360,Savings,0
37,64,Male,Lahore,HBL,1362690,Yes,878,Current,0
38,68,Female,Karachi,Allied Bank,1760759,No,525,Current,0
